2022-10-14 17:02:48.1665 RTP: time=[09:02:48:162] ip=[10.102.7.25]:12384 => [10.102.7.90]:25472, pkt.len=214, PalLoad.Len=172=>payloadType=0, SSRC=0x54DE, Seq=4602, Time=2744468857
2022-10-14 17:02:48.1815 RTP: time=[09:02:48:170] ip=[10.102.7.90]:25472 => [10.102.7.25]:12384, pkt.len=214, PalLoad.Len=172=>payloadType=0, SSRC=0x8D154450, Seq=7305, Time=1695331085
2022-10-14 17:02:48.1815 RTP: time=[09:02:48:170] ip=[10.102.7.90]:25472 => [10.102.7.25]:12384, pkt.len=214, PalLoad.Len=172=>payloadType=0, SSRC=0x8D154450, Seq=7305, Time=1695331085
2022-10-14 17:02:48.1815 RTP: time=[09:02:48:174] ip=[10.102.7.25]:12384 => [10.102.7.90]:25472, pkt.len=214, PalLoad.Len=172=>payloadType=0, SSRC=0x54DE, Seq=4603, Time=2744469017
2022-10-14 17:02:48.1815 RTP: time=[09:02:48:175] ip=[10.102.7.25]:12384 => [10.102.7.90]:25472, pkt.len=214, PalLoad.Len=172=>payloadType=0, SSRC=0x54DE, Seq=4603, Time=2744469017
2022-10-14 17:02:48.1965 RTP: time=[09:02:48:181] ip=[10.102.7.90]:25472 => [10.102.7.25]:12384, pkt.len=214, PalLoad.Len=172=>payloadType=0, SSRC=0x8D154450, Seq=7306, Time=1695331245
2022-10-14 17:02:48.1965 RTP: time=[09:02:48:181] ip=[10.102.7.90]:25472 => [10.102.7.25]:12384, pkt.len=214, PalLoad.Len=172=>payloadType=0, SSRC=0x8D154450, Seq=7306, Time=1695331245
2022-10-14 17:02:48.2115 RTP: time=[09:02:48:199] ip=[10.102.7.25]:12384 => [10.102.7.90]:25472, pkt.len=214, PalLoad.Len=172=>payloadType=0, SSRC=0x54DE, Seq=4604, Time=2744469177
2022-10-14 17:02:48.2115 RTP: time=[09:02:48:199] ip=[10.102.7.25]:12384 => [10.102.7.90]:25472, pkt.len=214, PalLoad.Len=172=>payloadType=0, SSRC=0x54DE, Seq=4604, Time=2744469177
2022-10-14 17:02:48.2115 RTP: time=[09:02:48:200] ip=[10.102.7.90]:25472 => [10.102.7.25]:12384, pkt.len=214, PalLoad.Len=172=>payloadType=0, SSRC=0x8D154450, Seq=7307, Time=1695331405
2022-10-14 17:02:48.2115 RTP: time=[09:02:48:200] ip=[10.102.7.90]:25472 => [10.102.7.25]:12384, pkt.len=214, PalLoad.Len=172=>payloadType=0, SSRC=0x8D154450, Seq=7307, Time=1695331405
2022-10-14 17:02:48.2265 RTP: time=[09:02:48:211] ip=[10.102.7.25]:12384 => [10.102.7.90]:25472, pkt.len=214, PalLoad.Len=172=>payloadType=0, SSRC=0x54DE, Seq=4605, Time=2744469337
2022-10-14 17:02:48.2265 RTP: time=[09:02:48:211] ip=[10.102.7.25]:12384 => [10.102.7.90]:25472, pkt.len=214, PalLoad.Len=172=>payloadType=0, SSRC=0x54DE, Seq=4605, Time=2744469337
2022-10-14 17:02:48.2416 RTP: time=[09:02:48:226] ip=[10.102.7.90]:25472 => [10.102.7.25]:12384, pkt.len=214, PalLoad.Len=172=>payloadType=0, SSRC=0x8D154450, Seq=7308, Time=1695331565
2022-10-14 17:02:48.2416 RTP: time=[09:02:48:226] ip=[10.102.7.90]:25472 => [10.102.7.25]:12384, pkt.len=214, PalLoad.Len=172=>payloadType=0, SSRC=0x8D154450, Seq=7308, Time=1695331565
2022-10-14 17:02:48.2416 RTP: time=[09:02:48:241] ip=[10.102.7.25]:12384 => [10.102.7.90]:25472, pkt.len=214, PalLoad.Len=172=>payloadType=0, SSRC=0x54DE, Seq=4606, Time=2744469497
2022-10-14 17:02:48.2565 RTP: time=[09:02:48:241] ip=[10.102.7.25]:12384 => [10.102.7.90]:25472, pkt.len=214, PalLoad.Len=172=>payloadType=0, SSRC=0x54DE, Seq=4606, Time=2744469497
2022-10-14 17:02:48.2565 RTP: time=[09:02:48:244] ip=[10.102.7.90]:25472 => [10.102.7.25]:12384, pkt.len=214, PalLoad.Len=172=>payloadType=0, SSRC=0x8D154450, Seq=7309, Time=1695331725
2022-10-14 17:02:48.2565 RTP: time=[09:02:48:245] ip=[10.102.7.90]:25472 => [10.102.7.25]:12384, pkt.len=214, PalLoad.Len=172=>payloadType=0, SSRC=0x8D154450, Seq=7309, Time=1695331725
2022-10-14 17:02:48.2715 RTP: time=[09:02:48:256] ip=[10.102.7.25]:12384 => [10.102.7.90]:25472, pkt.len=214, PalLoad.Len=172=>payloadType=0, SSRC=0x54DE, Seq=4607, Time=2744469657
2022-10-14 17:02:48.2715 RTP: time=[09:02:48:256] ip=[10.102.7.25]:12384 => [10.102.7.90]:25472, pkt.len=214, PalLoad.Len=172=>payloadType=0, SSRC=0x54DE, Seq=4607, Time=2744469657
2022-10-14 17:02:48.2715 RTP: time=[09:02:48:259] ip=[10.102.7.90]:25472 => [10.102.7.25]:12384, pkt.len=214, PalLoad.Len=172=>payloadType=0, SSRC=0x8D154450, Seq=7310, Time=1695331885
2022-10-14 17:02:48.2715 RTP: time=[09:02:48:259] ip=[10.102.7.90]:25472 => [10.102.7.25]:12384, pkt.len=214, PalLoad.Len=172=>payloadType=0, SSRC=0x8D154450, Seq=7310, Time=1695331885
2022-10-14 17:02:48.2866 RTP: time=[09:02:48:273] ip=[10.102.7.25]:12384 => [10.102.7.90]:25472, pkt.len=214, PalLoad.Len=172=>payloadType=0, SSRC=0x54DE, Seq=4608, Time=2744469817
2022-10-14 17:02:48.2866 RTP: time=[09:02:48:273] ip=[10.102.7.25]:12384 => [10.102.7.90]:25472, pkt.len=214, PalLoad.Len=172=>payloadType=0, SSRC=0x54DE, Seq=4608, Time=2744469817
